Brand Name	Generic Name
Abelcet	amphotericin b lipid complex
Abilify	aripiprazole
Abilify Maintena injection	aripiprazole
Abraxane	albumin-bound paclitaxel
Accupril	quinapril HCI
Accuretic	quinapril/HCTZ tablet
Actemra	tocilizumab
Acthar Gel	corticotropin (ACTH)
Actimmune	interferon gamma-1b
Activase	alteplase
Acuvail	ketorolac tromethamine ophthalmic solution
Aczone Gel 5%	dapsone
Adacel	tetanus toxoid, reduced diphtheria toxoid and acellular pertussis vaccine
Adcetris	brentuximab vedotin
Adcirca tablets	tadalafil
Adempas Tablet	riociguat
Advair diskus 100/50	fluticasone/propionate/salmeterol
Advair diskus 250/50	fluticasone/propionate/salmeterol
Advair diskus 500/50	fluticasone propionate/salmeterol
Advair HFA	fluticasone propionate and salmeterol
Advate	antihemophilic factor
Adynovate	Antihemophilic Factor (Recombinant), PEGylated
Aerochamber	inhaler spacer
Aerochamber Plus Flow-Vu mouthpiece/mask	inhaler spacer
Afinitor	everolimus
Afinitor Disperz	everolimus
Afrezza	insulin (human), inhalation powder
Agrylin	anagrelide hydrochloride
Akynzeo Capsule	netupitant/palonosetron
Albenza tablets	albendazole
Aldactazide	spironolactone and hydrochlorothiazide
Aldactone	spironolactone
Aldurazyme	laronidase
Alecensa	alectinib
Alimta	pemetrexed
Alinia suspension	nitazoxanide
Alinia tablets	nitazoxanide
Allegra OTC	fexofenadine OTC tablet
Alomide	lodoxamide tromethamine solution
Aloxi	palonosetron HCI injection
Alphagan P 1%	brimonidine tartrate ophthalmic solution
Alphanate injection	antihemophilic factor/von willebrand factor complex (human)
AlphaNine SD	coagulation factor ix (human)
Alprolix Powder	coagulation factor IX (rDNA)
Alrex suspension .2%	loteprednol etabonate ophthalmic suspension
Altabax	retapamulin ointment 1%
Altace	ramipril
Alvesco	ciclesonide
AmBisome (injection)	amphotericin B, lipid-based
Amicar	aminocaproic acid
Amitiza	lubiprostone
Ampyra Tablet	dalfampridine
Anafranil	clomipramine hcl
Analpram HC Cream	hydrocortisone/pramoxine
Ancobon Caps	flucytosine
AndroGel	testosterone gel
Android capsules	methyltestosterone capsules
Angeliq	drospirenone/estradiol
Angiomax	bivalirudin
Anoro Ellipta	umeclidinium and vilanterol inhalation powder
Anusol-HC (cream)	hydrocortisone cream
Anusol-HC Cream	hydrocortisone
Anusol-HC Suppository	hydrocortisone
Apidra	insulin glulisine
Apligraf	bi-layered skin substitute
Apriso	mesalamine extended release
Aptiom Tablet	eslicarbazepine acetate
Aptivus capsules	tipranavir
Aptivus Oral Solution	tipranavir
Aralast	aralast
Aranesp	darbepoetin alfa
Arcapta Neohaler	indacaterol inhalation powder
Arestin	minocycline
Arimidex	anastrazole
Aristada	aripiprazole lauroxil
Armour Thyroid	thyroid
Arnuity Ellipta	fluticasone furoate inhalation powder
Aromasin	exemestane
Arranon	nelarabine
Arthrotec	diclofenac sodium/misoprostol
Arzerra	ofatumumab
Asmanex HFA	mometasone furoate
Asmanex Twisthaler	mometasone furoate inhalation powder
Astagraf XL	tacrolimus
Atgam	lymphocyte immune globulin/anti-thymocyte globulin
Atralin	tretinoin
Atripla	efavirenx/emtricitabine/tenofovir disoproxil fumarate
Atrovent HFA Inhalation Aerosol	ipratropium bromide
Aubagio tablets	teriflunomide
Auryxia Tablet	ferric citrate)
Avandia tablets	rosiglitazone maleate
Avastin	bevacizumab
Avodart soft gelatin tablets	dutasteride
Avonex	interferon beta-1a
Aygestin	norethindrone acetate tablet
Azilect	rasagiline tablets
Azopt	brinzolamide suspension
Azor	amlodipine and olmesartan
Azulfidine	sulfasalazine
Bacitracin	bacitracin
Bactroban cream	mupirocin
Bactroban Nasal Ointment	mupirocin calcium ointment
Bactroban ointment	mupirocin
Banzel	rufinamide
Baraclude Oral Solution	entecavir
Baraclude tablets	entecavir
Bebulin	factor IX complex
Beconase AQ (nasal spray)	beclomethasone dipropionate
Beleodaq Powder	belinostat
Belsomra	suvorexant
Belviq tablet	lorcaserin hydrochloride
Bendeka Injection	bendamustine HCl
BeneFIX Coagulation Factor IX	recombinant
Benicar	olmesartan medoxomil
Benicar HCT	olmesartan medoxomil
Benlysta	belimumab
Bepreve Ophthalmic Solution 1.5%	bepotastine besilate
Berinert	c1 esterase inhibitor
Besivance	besifloxacin ophthalmic suspension
Betaseron	interferon beta-1b
Bethkis Inhalation Solution	tobramycin
Betimol	timolol ophthalmic solution
Betoptic S	betaxolol hydrochloride suspension
Beyaz	drospirenon/ethinyl estradiol/levomefolate calcium
BiDil	isosorbide dinitrate and hydralazine hydrochloride
Biltricide	praziquantel
Bion Tears	bion tears
Blincyto	blinatumomab
Boostrix	tetanus toxoid, reduced diphtheria toxoid and acellular pertussis vaccine
Bosulif	bosutinib
Botox	botulinum toxin type A
Bravelle Injection	urofollitropin
Breo Ellipta	fluticasone furoate and vilanterol inhalation powder
Brilinta Tablets	ticagrelor
Brisdelle Capsule	paroxetine
Briviact	brivaracetam
Brovana	Arformoterol Tartrate Inhalation Solution
Bupap tablets	butalbital/acetaminophen
Buphenyl Powder	sodium phenylbutyrate
Buphenyl Tablet	sodium phenylbutyrate
Butrans Transdermal System	buprenorphine
Bydureon	exenatide extended-release for injection suspension
Byetta	exenatide
Bystolic	nebivolol
Cabometyx	cabozantinib s-malate
Caduet	amlodipine besylate/atorvastatin calcium
Calan	verapamil HCl
Campath 30mg	alemtuzumab
Camptosar	irinotecan hcl
Canasa	mesalamine
Cancidas	caspofungin acetate
Carac Cream	fluorouracil cream
Carbaglu	carglumic acid
Carbatrol	carbamazepine
Cardizem LA	diltiazem hcl
Cardura	doxazosin mesylate
Carimune NF	nanofiltered immune globulin intravenous (human)
Carnitor	levocarnitine (L-Carnitine)
Casodex	bicalutamide
Cathflo	alteplase
Caverject	alprostadil
Cayston	aztreonam for inhalation solution
Celebrex	celecoxib
CellCept	mycophenolate mofetil
Celontin	methsuximide
Cerdelga Capsule	eliglustat
Cerezyme	imiglucerase
Cetacaine	benzocaine
Cetrotide injection	cetrorelix acetate
Chantix	varenicline
Chemet Capsules	succimer
Cholbam capsule	cholic acid capsule
Cialis	tadalafil
CIMZIA	certolizumab pegol
Cinqair Injection	Reslizumab
Cinryze	c1 esterase inhibito
Cipro	ciprofloxacin hydrochloride
Cipro (oral suspension)	ciprofloxacin
Cipro HC Otic	ciprofloxacin hydrochloride and hydrocortisone suspension
Ciprodex	ciprofloxacin and dexamethasone
Clarinex	desloratadine
