postNum,pageNum,pageID,medication,text

1,1,forumstopic59301-us-fda-approves-abilify-for-maintenance-treatment-of-bipolar-i-disorder-as-an-adjunct-to-either-lithium-or-valproate,abilify_aripiprazole,By Lindsay Source:

1,1,forumstopic114076-feeling-of-heavy-legs-and-tired-legs,abilify_aripiprazole,Hi all:  Haven't posted on DF for a while.  I am just wondering if anyone has noticed this side effect with Abilify.  I am presently taking 2 mg of Abilify in the morning and I am day 4 of that dosage.  My doc has added Abilify to augment 375mg Venlafaxine XR and 60mg Remeron which have seemed to poop out on me.  I am also taking 2mg of Lorazapam in the morning to manage my GAD.  This morning I am noticing that my legs feel heavy and tired while walking or climbing stairs.  I am just wondering if anyone has noticed this side effect with Abilify and does it go away as your body adjusts to the drug?  Feedback appreciated!

2,1,forumstopic114076-feeling-of-heavy-legs-and-tired-legs,abilify_aripiprazole,"Yeah. I've been taking it for a couple of weeks now and... I'm totally obliterated. I feel ok in the head, but my legs feel leaden and I don't really want to move - yet sitting down or lying down makes me restless."

3,1,forumstopic114076-feeling-of-heavy-legs-and-tired-legs,abilify_aripiprazole,Update. I've been told to take aripiprazole (Abilify) in the evenings by my doctor. The awful feeling of leaden legs has disappeared after a few days. 

4,1,forumstopic114076-feeling-of-heavy-legs-and-tired-legs,abilify_aripiprazole,"Yeah, I was told to take it in the evenings as well. But either way my legs did not feel like mine and I couldn't walk properly. It was very weird. Hope it works out for you taking it in the evening :)"

5,1,forumstopic114076-feeling-of-heavy-legs-and-tired-legs,abilify_aripiprazole,"whenever I walk, I feel like I'm pulling a muscle or two. Can somebody explain why that happens?"

1,1,forumstopic118509-starting-abilify-tonight,abilify_aripiprazole,"Hi everyone.  This is my first post.  Glad to have found this forum. Back in 2006 I was diagnosed with Panic Disorder, started on Lexapro and Xanax.  This worked wonderfully and in 2011 I was able to come off Xanax completely and stay on Lexapro 20mg.  Everything has been fine until a major life upset on March 17th, 2016, which brought back my Panic Disorder with a vengeance (really, it has been making up for lost time).  Along with that came a major depression.  I have never experienced depression before, and this has rocked my world to the core.  My poor husband doesn't know what to do (I just told him to support me and be there for me and that would be enough). Flash forward to today.  I went to a new Psych Doc and instantly liked him a lot.  He has added Abilify 2.5mg for two weeks, then, if it isn't working, upping the dose to 5mg.  I am also back on the Xanax (0.5mg 3x day as needed). Any encouragement or cautions about Abilify would be appreciated!  Wish me luck!"

2,1,forumstopic118509-starting-abilify-tonight,abilify_aripiprazole,Hi and welcome. I definitely would NOT take it at night. You won't be sleeping if you do! I found it helped me so much with motivation and getting stuff done. and done and done and done. It was awesome. As of today my Psych is taking me off it because  we are still fiddling with different medications and doses and he wants to take it out of the mix for now.I know I'll miss it. Good luck! Natasha

3,1,forumstopic118509-starting-abilify-tonight,abilify_aripiprazole,"Thanks for your reply. Looks like it is about 50/50 of people taking at night or morning. I took my Abilify 2.5mg last night along with 0.5mg Xanax, 20mg Lexapro and Metoprolol XL. I slept pretty good till I woke up around 3:30 am, which I sometimes do anyway, so I can't say if that was due to the Abilify or not.   I'll try at night again for a few more nights before making a judgment call. So all in all, night 1 wasn't so bad."

4,1,forumstopic118509-starting-abilify-tonight,abilify_aripiprazole,Hooray!!hope it all works well.

1,1,forumstopic118569-abilify-night-time-drooling,abilify_aripiprazole,"Hi all I am on my 8th day @  8mg/day abilify taken in the morning.  I'm taking it as an adjunct to mirtazapine and effexor xr for depression.  For the last two nights I noticed I am drooling in my sleep.  Has anyone else experienced this?  Does this side effect go away over time? Any feedback appreciated, Thanks  "

1,1,forumstopic118810-1st-week-on-abilify,abilify_aripiprazole,"So I have been on Abilify, 2.5mg, for one week to augment my ""pooped out"" Lexapro for depression and anxiety.  I can definitely tell a difference, as I am not taking as much Xanax and I do feel better.  I am not completely where I want to be, but considering I have only been  on it for 5 days I feel like there is more improvement in mood on the horizon for me. The only side effect I have had so far is insomnia.  I was taking my dose at night, and even if i took 0.5mg Xanax or 5mg ambien, I STILL would wake up at 1 or 2am and not be able to go back to sleep.  It may or may not be the Abilify, but since I never had this problem before I am pretty certain that it is.  Starting today I began taking the Abilify in the morning.  Hopefully I will see a difference, because I need some sleep!"

1,1,forumstopic118710-blurred-vision,abilify_aripiprazole,I have. Been on Ability for more than a year.   Recently my doctor increased my dosage from 2mg to 5 MG and I noticed I am having blurred vision and some discomfort on my forehead I am thinking Ability is the culprit so I lowered the dosage to 2.5mg. My doctor is away so I cannot contact him. 

2,1,forumstopic118710-blurred-vision,abilify_aripiprazole,"I have taken Abilify, and I do know that blurred vision and headaches are side effects for some people (my main problem was fatigue).  I guess you should be okay at 2.5 mg, but what I do if I lower a dose of an antidepressant is just make sure that I am not getting much more depressed.  Definitely talk to the doc when he gets back.  Good luck!"

3,1,forumstopic118710-blurred-vision,abilify_aripiprazole,Thanks night rose.

4,1,forumstopic118710-blurred-vision,abilify_aripiprazole,I am seeing my pdoc today.

1,4,forumstopic69173-abilify-my-experience?page=4,abilify_aripiprazole,

2,4,forumstopic69173-abilify-my-experience?page=4,abilify_aripiprazole,"It's been a month since I posted last, and I just want to say that the Abilify is continuing to work wonders. I have no side effects from it other than appetite increase, and it really does help my mood a lot. It really does work as advertised, for me at least."

3,4,forumstopic69173-abilify-my-experience?page=4,abilify_aripiprazole,"After a wonderful October, November, December and January, Abilify stopped working in February and actually began to give me horrible flashbacks and problems thinking clearly. I know that it is the Abilify because I ran out of it and had to wait for it to come in and these symptoms disappeared. When I restarted it, the symptoms came back.  I am now in the process of weaning off the Abilify. Well, it work great while it lasted. I'm on a reduced dose right now, and I'll keep posting until I've been off for a while."

