pageID,text,postNum,pageNum,medication

forumstopic108392-latuda,"LATUDA is the first medication approved for bipolar depression that can be taken either on its own (known as monotherapy) or with a mood-stabilizing medication (adjunctive therapy), either lithium or valproate. LATUDA is one of a class, or type, of medication known as atypical antipsychotics. With LATUDA, as with any other prescription medicine, some people may experience If you're struggling with bipolar depression, there are treatment options. Watch the commercial to learn more about LATUDA as a treatment option for bipolar depression. After you've seen the ad, ask your doctor if LATUDA may be right for you. If you're struggling with bipolar depression, there are treatment options. Watch our commercial to learn more about LATUDA as a treatment option for bipolar depression. After you've seen the ad, ask your doctor if LATUDA may be right for you. Are you wrestling with your own bipolar depression? Ask your doctor if LATUDA is right for you. Download the Now You're Talking Doctor Guide and take it along to your next appointment to help you get the most out of your discussion. LATUDA is part of a class of medications called atypical antipsychotics that treats bipolar depression symptoms. More > Important Safety Information and indications for LATUDA INCREASED MORTALITY IN ELDERLY PATIENTS WITH DEMENTIA-RELATED PSYCHOSIS; AND SUICIDAL THOUGHTS AND BEHAVIORS Elderly patients with dementia-related psychosis (having lost touch with reality due to confusion and memory loss) treated with this type of medicine are at an increased risk of death compared to patients receiving placebo (sugar pill). LATUDA is not approved for treating elderly patients with dementia-related psychosis. Antidepressants have increased the risk of suicidal thoughts and actions in some children, teenagers, and young adults. Patients of all ages starting treatment should be watched closely for worsening of depression, suicidal thoughts or actions, unusual changes in behavior, agitation, and irritability. Patients, families, and caregivers should pay close attention to any changes, especially sudden changes in mood, behaviors, thoughts, or feelings. This is very important when an antidepressant medicine is started or when the dose is changed. Report any change in these symptoms immediately to the doctor. LATUDA is not approved for patients under the age of 18 years. LATUDA can cause serious side effects, including stroke that can lead to death, which can happen in elderly people with dementia who take medicines like LATUDA. Neuroleptic malignant syndrome (NMS) is a rare but very serious condition that can happen in people who take antipsychotic medicines, including LATUDA. NMS can cause death and must be treated in a hospital. Call your healthcare provider right away if you become severely ill and have some or all of these symptoms: high fever, excessive sweating, rigid muscles, confusion, or changes in your breathing, heartbeat, or blood pressure. Tardive dyskinesia (TD) is a serious and sometimes permanent side effect reported with LATUDA and similar medicines. Tell your doctor about any movements you cannot control in your face, tongue, or other body parts, as they may be signs of TD. TD may not go away, even if you stop taking LATUDA. TD may also start after you stop taking LATUDA. Increases in blood sugar can happen in some people who take LATUDA. Extremely high blood sugar can lead to coma or death. If you have diabetes or risk factors for diabetes (such as being overweight or a family history of diabetes), your healthcare provider should check your blood sugar before you start LATUDA and during therapy. Call your healthcare provider if you have any of these symptoms of high blood sugar (hyperglycemia) while taking LATUDA: feel very thirsty, need to urinate more than usual, feel very hungry, feel weak or tired, feel sick to your stomach, feel confused, or your breath smells fruity. increases in triglycerides and LDL (bad) cholesterol and decreases in HDL (good) cholesterol have been reported with LATUDA. You may not have any symptoms, so your healthcare provider may decide to check your cholesterol and triglycerides during your treatment with LATUDA. Some patients may gain weight while taking LATUDA. Your doctor should check your weight regularly. Tell your doctor if you experience any of these: feeling dizzy or light-headed upon standing, decreases in white blood cells (which can be fatal), trouble swallowing. LATUDA and medicines like it may raise the level of prolactin. Tell your healthcare provider if you experience a lack of menstrual periods, leaking or enlarged breasts, or impotence. Tell your healthcare provider if you have a seizure disorder, have had seizures in the past, or have conditions that increase your risk for seizures. Tell your healthcare provider if you experience prolonged, abnormal muscle spasms or contractions, which may be a sign of a condition called dystonia. LATUDA can affect your judgment, thinking, and motor skills. You should not drive or operate hazardous machinery until you know how LATUDA affects you. LATUDA may make you more sensitive to heat. You may have trouble cooling off. Be careful when exercising or when doing things likely to cause dehydration or make you warm. Avoid eating grapefruit or drinking grapefruit juice while you take LATUDA since these can affect the amount of LATUDA in the blood. Tell your healthcare provider about all prescription and over-the-counter medicines you are taking or plan to take, since there are some risks for drug interactions with LATUDA. Tell your healthcare provider if you are allergic to any of the ingredients of LATUDA or take certain medications called CYP3A4 inhibitors or inducers. Ask your healthcare provider if you are not sure if you are taking any of these medications. Avoid drinking alcohol while taking LATUDA. Tell your healthcare provider if you are pregnant or if you are planning to get pregnant. Avoid breastfeeding while taking LATUDA. The most common side effects of LATUDA include sleepiness or drowsiness; restlessness or feeling like you need to move around (akathisia); difficulty moving, slow movements, muscle stiffness, or tremor; and nausea. These are not all the possible side effects of LATUDA. For more information, ask your healthcare provider or pharmacist. You are encouraged to report negative side effects of prescription drugs to the FDA.  Visit www.fda.gov/medwatch or call 1-800-FDA-1088. INDICATIONS LATUDA is used to treat adult patients with: Depressive episodes in bipolar I disorder (bipolar depression) when used alone or with lithium or valproate Schizophrenia LATUDA® and Sunovion are registered trademarks of Sumitomo Dainippon Pharma Co., Ltd. Sunovion Pharmaceuticals Inc. is a U.S. subsidiary of Sumitomo Dainippon Pharma Co., Ltd. © 2014 Sunovion Pharmaceuticals Inc. All rights reserved. 11/14 LAT684-14 This site is intended for U.S. residents 18 years of age or older.",1,1,latuda

forumstopic108306-latuda-severe-withdraws-going-off,I have never had withdraws this bad not even when i got sober! My depression and anxiety are at the worst its ever been. If you are on Latuda or thinking about going on just a warning on how bad the withdraws are.,1,1,latuda

forumstopic108306-latuda-severe-withdraws-going-off,"I know what you're talking about, Latuda seemed to not work for me but even as I went down a dose to come off of it I got some nasty side effects.",2,1,latuda

forumstopic108306-latuda-severe-withdraws-going-off,"Oh dear. That might be the medication that causes me those electric ""zizzes"" in my head when I've missed just ONE DAY. Not looking forward to the withdrawal that is bound to happen one day.",3,1,latuda

forumstopic108574-latuda,"Hello everyone, I was wondering...has anyone gotten over the initial side effects of Latuda and found it is working for them?  How long did it take? Thanking you in advance and good luck with whatever you are taking for bipolar! ~Lindsay",1,1,latuda
