postNum,pageNum,pageID,medication,text

1,1,forumstopic5451-fda-warns-of-suicide-risk-for-paxil,paxil_seroxat,

2,1,forumstopic5451-fda-warns-of-suicide-risk-for-paxil,paxil_seroxat,As an adult while on Paxil for about 6 months I became suicidal in 2000. Had to get weaned off the Paxil.

3,1,forumstopic5451-fda-warns-of-suicide-risk-for-paxil,paxil_seroxat,"Hmmmm.  I've been hospitalized twice since this March for suicidal ideation.  I was taking Paxil before March, and I'm taking more now.  But I'm not considered a young adult."

4,1,forumstopic5451-fda-warns-of-suicide-risk-for-paxil,paxil_seroxat,

5,1,forumstopic5451-fda-warns-of-suicide-risk-for-paxil,paxil_seroxat,"Well, it's gratuitous to make the observation, but Donald Schell was no spring chicken, either.  Here's a little snippet of information for you, courtesy Dr Peter Breggin.  Apparently, between 1980-91 SmithKline Beecham (as it was then), conducted 83 trials of varying lengths, pursuant to bringing Seroxat to market in the UK.  UK licensing requires 2 positive trials, and I suppose given an infinite number of chimps in a room with an infinite number of typewriters, sooner or later one of them will write a report saying that Seroxat's a valuable drug.  SKB managed 4 trials, with 3 further trials ""supporting"", whatever that means.  76 failed trials. I don't know which particular scientific school SKB or the MCA (the UK licensing body, now called the MHRA) subscribes to.  The usual approach is to take the evidence on balance, see which direction it points one in, and then progress from there.  The decision to license Seroxat in the UK appears to have flown in the face of this approach, because in no way does an 88% failure rate indicate efficacy, which is the prime consideration, when licensing, or so we're told.  The question of negative side effects doesn't even need to be discussed, because there is no benefit to weigh against the risk. Now, if one puts this anomaly to the Department of Health, the MHRA, the Serious Fraud Office, the Police and one's MP, as I have, one is met with a wall of silence, which is presumably regarded as the appropriate response to awkward questions.  Unfortunately, it just indicates that each of these players, plus Glaxo SmithKline, is either corrupt, or incompetent, because we've moved past ""innocent mistake"", now that the coutermanding opinion has been given, and been derided, rather than investigated.  The longer the silence goes on, the more inclined I am to think its corruption, but what would I know? Best regards Matt"

6,1,forumstopic5451-fda-warns-of-suicide-risk-for-paxil,paxil_seroxat,I was on paxil for awhile too. I also became suicidal. And when I went to my doctor he UPPED the dosage... and made it even worse. I almost succeeded.  I immediately changed doctors. He took me off the paxil and put me on Lexapro.... MUCH BETTER!

7,1,forumstopic5451-fda-warns-of-suicide-risk-for-paxil,paxil_seroxat,"I'm on Paxil now, and I can say it's definitely not the best drug ever."

8,1,forumstopic5451-fda-warns-of-suicide-risk-for-paxil,paxil_seroxat,"Paxil is horrible (my opinion). I agree with all of you, I felt suicidal too and even more so when the doses increased.."

