medication,pageID,pageNum,postNum,text

viibryd_vilazodone,forumstopic71263-viibryd,1,1,

viibryd_vilazodone,forumstopic71263-viibryd,1,2,"Hi, my name is Alyssa. I am 17 years old. A month or so ago, my dr. perscribed Viibryd to me. Brand new on the market. I was one of her first guinea pigs. She sent me home with a trial pack. With tapered dosages from 10mg-40mg. The first time taking it, I felt numb to my emotions but was able to get through a day without tears for the first time in forever. There was nausea with the 10mg. but that was all. everything seemed to go a lot smoother until it was time to taper up to the 20mg. Then the nausea was back with a vengence. I hardly ate anything throughout all this time so I had lost about 10 pounds. I didn't really talk to anyone, I had missed so much school previous I felt they all looked at me weird anyway, so I mostly stayed away from people. But I feel that Viibryd took part in my social skills decline. I was very numb to emotions and almost unresponsive. I am normally very bubbly and talkative on a good day. But again that was the new normal so everything was ""evened out"" again after a few days starting on the 20mg. No more nausea, and no more tears. Then came time (a week later) to start the 40mg. Which is a double jump to the jumps previous. The first few days were the same as  the 20mg dosage. the nausea was back but was dull comapred to the other two times. I was still numb to emotions, but I had gotten used to, and almost welcomed that aspect of the medication. A few days after starting the 40mg dosage my family and I started a road trip down to illinois. Half way through the drive I leaned over to my mom and asked how cold it was. She said it was in the low 60's. but I said it couldnt be, because it was snowing outside. Not just snowing but a blizard like snow infact. My whole family looked on me in shock as I was staring out the window at the ""snow"". As the night drew on the hallucinations got worse. I saw a dark shawdow man that wasn't there.  I saw giant worm like things crawling under the carpet, and they seemed to be searching for me. At one point or another I was sitting on my bed at my relatives house (after we had arrived) I was in the middle of a txt and about 5 mins later I ""woke up"" still in the middle of the txt. It is to be believed that I had passed out. My mom walked in and when I started crying because of the ""things"" under the carpet she finally took me to the ER. Being evaluated they almost didn't know what to do. the med was to new for any of them to even know what it was. they had to resort to going to books. Which astounded me at how new it really was. In the end they tapered it back down to 20mg, and then cold turkey. there were no harmful sideaffects from cold turkey. While my experience with this med was negative, I do believe it could had adverse affects in others."

viibryd_vilazodone,forumstopic71263-viibryd,1,3,"Alysaa thank you for sharing your experience.  I just started Viibryd today, it is one I have never heard of before."

viibryd_vilazodone,forumstopic71263-viibryd,1,4,Started on Viibyrd 5 weeks ago.1 day to get use 10mg.4 days for the 20.Then on to the 40mg.On 40 I felt medicine head all day.After a week and half then came the sleep problems.5 hrs over 3 days.The next  3 days no sleep at all.Now I'm on.5 mg Xanax.At least I can sleep again.Seen a new doctor last and she suggested  2mg. of Abilify on top of it  all.Does anyone else  have experience with this combination ?

viibryd_vilazodone,forumstopic71263-viibryd,1,5,"I had the sleep issues for a few days but was taking it in the afternoon as the dr said it could cause drowsiness, seems to have the opposite affect.  I am taking it with Adderall and basically feel very amped up.  I had a lot of nausea, but when not nauseuous I am so hundry eating non stop.   The nausea has passed but still hungry all the time.   I also feel clouded in my head, not slow or groggy more of a ""high"" feeling.  I think it is that feeling that is helping my mood, but still not feelling ""normal"""

viibryd_vilazodone,forumstopic71263-viibryd,1,6,"I've been on Viibryd for a month now, and I'm starting to like it less and less.  I was feeling super happy when I started it... but I think that was just the placebo effect.  I was nauseous and dizzy on the 10mg, but that went away after a few days.  It made me so hyper that I couldn't sleep very well.  Then I went up to the 20 mg and had to leave church bc I was having a panic attack.  A few days later I felt better, but still couldn't  sleep, and I was getting headaches.  Now I've been on the 40 mg for over a week and a half, and I have a headache every morning.  I've been having the craziest, most realistic nightmares as well.  So realistic that I still think they happened when I wake up.  I feel the worse in the morning.  I have huge ""med head"" and I feel so sad and out of it until I take the dose and it kicks in.  I've been getting irritable the past few days, and I feel like I'm constantly high.  I use to have horrible skin picking problems, and I was better until I started this medicine.  Last night I sat in my bedroom and picked at my skin, and then realized an hour went by.  I go back to the Dr in a week, and I'm going to ask that he puts me back on Celexa.  I was on it as a kid, and to this day it's the only medicine that worked right.  I've just been reading so much scary stuff about Viibryd and the horrible side effects.  I've never reacted this way to a medication, but I'm scared to just stop taking it."

viibryd_vilazodone,forumstopic71263-viibryd,1,7,"I've been on Viibryd since the end of July. Because I'm stubborn, I stopped at 20mg and have been there for a few months now. It's definitely helped me. I had some stomach issues when I first started, but everything has evened out and things have been fine for me since. No crazy side-effects (that I know of?) or anything! When I first started, I could barely eat just because I wasn't hungry and ended up losing about 10lb... Unfortunately my appetite returned with a vengeance since then :( But anyway, if you're just starting out, stick it out for a month or two! If I hadn't found Viibryd, I don't know how I'd be right now. If anyone has any questions about my experience on it, feel free to ask (though obviously experience is going to differ person to person!)"

viibryd_vilazodone,forumstopic71263-viibryd,1,8,"my name is brandon, ive tried viibryd and all i noticed that it just seems to get me by, not a happy get me by, but a zombie get me by, i dont know what i can feel anymore. ive tried almost everything"

viibryd_vilazodone,forumstopic71263-viibryd,1,9,"I'm 34 yr old Bipolar. I've been on Viibryd for a week and 1 day. I am noticing headache, nausea and  very comfortable gassy bloat (very visible bloat in stomach). Not noticing any positive mental relief (depression). Worried if this doesn't work--been on (it seems) every med. Mania is controlled but depression is ever present and vicious. Also taking Lithium and Toprimate. Any suggestions welcome."

viibryd_vilazodone,forumstopic71263-viibryd,1,10,"I was very cautious of this med as I have been off all antidepressants for 3 years but had a very bad year June 2010 to July 2011 and ended up in hospital for a few days in August.  Other SRRI did not help much in the past 20 years but decided to try.  Major Fail.  I cut the doses in half and increased them much more slowly than the standard hoping that would allow my system to adjust.  Every meal was accompanied by gas bloating in the stomach. Severe and prolonged and painful.  You don't eat as much that way but I didn't lose weight either. Diahrea grew worse as I increased the dose until finally at about almost 2 weeks into the 20 mg dose I experienced fecal leaking with a smell that was worse thing since I took care of monkeys with giardia and as a zoo keeper I have smelled some pretty nasty things.  This was worse.  I quit cold turkey with my Dr.s permission and am now having backlash worsening of depression (the depression did not get better when I was on the drug either), still have bloating and heartburn after meals.  I am really sorry I took it and I hope to feel better physically soon.  I also have SAD so I use my lights and will go to sunny Arizona for the cure in January.  I am also taking the 50K units per week program of Vitamin D3 and that does seem to be helping.  If you haven't had your D levels checked ask your Dr. and be aware that for depressives a therapeutic level is 75 or above, not the 30 to 50 that is recognized by UDSA standards. This not this ."

viibryd_vilazodone,forumstopic71263-viibryd,1,11,"Don't know what to suggest,  my experience is the bloat only got worse and I was not on the therapeutic dose yet either when I quit.  Even if you manage to stay with it until you reach therapeutic dose of 40 mg expect it to take at least 3 to 4 weeks at that dose to feel any real relief.  Hope it works for you it was a total fail for me."

viibryd_vilazodone,forumstopic71263-viibryd,1,12,OMG - I have been on Viibryd since August. I initially had positive results. At least I was getting out of bed. These days I feel so bad and have all these weird things happening. I decided to come back to this site to read some of the post. I thank all for sharing the side effects you are having because now I don

viibryd_vilazodone,forumstopic71263-viibryd,1,13,/

viibryd_vilazodone,forumstopic71263-viibryd,1,14,"Started taking Viibryd in August, off of it in November. Definitely did not mitigate my symptoms: launched me into my first manic episode in a couple of years, followed by serious depression. Switched to Zoloft in November, now today to Wellbutrin. Just now working myself back to where I was. Another example of ""everyone is different..."""

viibryd_vilazodone,forumstopic71263-viibryd,1,15,"I am sooo glad I read some of these posts about Vibryd. I too experienced weird side effects. Confusion was the most disturbing to me. I was actually (in) the psychiatrist's office when it happened, it was like I had been drinking or something. I couldn't answer the doctor's questions, I felt really out of it. And I was trying to HIDE the fact of how out of it I felt. I told my dr that I was feeling overwhelmed by his questions and confused. I hadn't taken anything different except that drug. So when I read someone's response that they felt like they were stoned, I could so relate to that. I had extreme confusion, and I was on the lowest dose."

viibryd_vilazodone,forumstopic71263-viibryd,1,16,"I know several people including myself, who have been on Wellbutrin.  It's a great helper drug for meds that make you tired ,but alone..   It can make you VERY mean!!!   I have recently stopped Vibryd as well.  It was ok at first, but then I started feeling sick all the time and couldn't eat!  I had the same vision issues as you did, as well as heavy feeling on my chest.  A few weeks after being on 40 mg  I started crying for no reason!!  I was a zombie when I wasn't crying!  Now I'm Trying the only SSRI I haven't tried, pristiq.  We'll see how it goes!"

viibryd_vilazodone,forumstopic71263-viibryd,1,17,"Viibryd may work for some people, butg for me it was the drug from hell.  It worked really fast even at lower doses, but then when I got up to 40 mg I also started crying for no reason and then the zombie feeling came.  I just wanted to die.  I even would wake up and night and wanted to just cry.  I couldn't get a hold opf my Dr. again as he was on vaction so I cut the pills in hald and tkk then for a fews days.  Then I cut the then in quarters.  The withdrawl was terrible.  My whole boy ached and I was so tired.  I just wanted to sleep all the time and when I wasn't  sleeping I was crying. I am also taking Pristiq.  I had tried it before and it seemde to work fine, but my Dr. didn't have anymore samples so he gave me sample of Viibryd. If anyone out there tries Viibryd please be very careful of the horrible side effects."

viibryd_vilazodone,forumstopic71263-viibryd,1,18,"Hi my name is Mel.  I was on this forum years ago because I was so bad that i was agoraphobic. My depression and anxiety were debilitating.  I went on Cymbalta and it kind of did the trick.  I wasn't suicidal anymore but i still felt a low grade depression all of the time.  I started viibryd 3 weeks ago and i feel better than i have in years.  I finally have energy and I'm super happy.  I don't think i ever felt this good.  I definitely have an appetite but who care i feel great.  I read that some people are crashing on this med so i will be on the look out for that but seriously I would sleep like 14 hours a day, now i wake up at 6 am, and cheerfully no less and i stay up til 11pm all the while staying busy all day.  I didn't have any weird side effects either, only that i have an increased appetite.  Thank you for all your posts"

viibryd_vilazodone,forumstopic71263-viibryd,1,19,"I'm on week three of viibyrd, it's my first time using anti-depressants. After paying a ton of money to see my psychiatrist and spending four minutes with him he gave me a trial pack of viibryd for my clinical depression. So far my depression has been alright, 10mg didn't do much, had a break down during the first week. The second week on 20mg I felt a little better. I feel like the 20mg or the 40mg will be my answer but I am still struggling with my anxiety and that's a whole different issue. Today I started with the 40mg. The first week on 10mg I had diahhrea on and off (joy) and a little nausea. I was pretty drowsy with each dose and I would usually get up, take the pill and go lay down for an hour or two. The next week while taking the 20mg I started to have really vivid/crazy dreams and I was wondering if anyone else experienced that? I normally remember my dreams but I have been usually taking two ativans at night to help me sleep along with the viibryd and my dreams seem to last for most of the night and they seem very real and very unusual."

viibryd_vilazodone,forumstopic71263-viibryd,1,20,"Today is my fifth day taking Viibryd. I had been on 50mg of Zoloft since 2007. I feel a lot better. I had started having severe breakdowns on my Zoloft that was affecting my job. The doctor highly recommended Viibryd and I decided to try it. I have been on 10mg and will slowly work my way up to 40mg. The only side-affects I have noticed are nausea and diarrhea, but I heard these go away with time."

viibryd_vilazodone,forumstopic71263-viibryd,1,21,"I want to share a positive experience with Viibryd. Long story short: I've been on anxiety medications off & on since experiencing post-partum anxiety after my daughter was born in 2008. My primary symptom was/is severe insomnia. I was on Zoloft, which worked wonderfully to treat the anxiety & allow me to sleep just like I always had (7-8+ hrs./night), but I wanted to find something else b/c of Zoloft's sexual SE. I was on Lexapro from Oct. 21 until last Sunday. However, I never slept very well on it. I would wake up 1-4 hrs. b/f my alarm & either couldn't fall back asleep at all or slept very lightly. Also, the sexual SE were just as bad as on Zoloft. So, my pdoc and I decided there was no point in staying on Lexapro. I started taking Viibryd on Monday. The very first night--and every night since--I've had a great night of sleep. (Nothing else in my life has changed.) I'm sleeping through to my alarm. I'm able to sleep past 6am. I'm getting 7.5-8.5 hrs. of sleep a night, without taking any sleep meds. I'm able to fall back asleep at night. So I'm convinced the early awakening was a side effect of the Lexapro. The only SE of Viibryd so far were minor GI issues for the first few days. I am very happy with it so far."

viibryd_vilazodone,forumstopic71263-viibryd,1,22,"Started on Viibryd about 10 days ago.  Took 10mg for the first week and now I am in the  middle of the second week on 20 mgs.  Experiencing A LOT of head zingers, shocky feeling in my brain.  Diariaha (never could spell that word) the first week, but that is gone now.  not sure if the shocky feelings are from Viibryd of from going off of Lexapro and Paxil (I was on both at the same time). I am really hoping this drug works for me - when I told my Pdoc that I felt like my life was over,(no suicide feelings - just a real down feeling of why bother any more) he decided that it was time to switch my meds and Viibryd was what he gave me to try. On the positive side, I started sleeping better from the first dose of 10mg (still taking Atavan to sleep, but now it works really good).  The why bother feeling disappeared sometime during last week and hasn't come back.  After reading some of these posts, I'm a bit scared of going to the 40mgs, but I'm going to give it a try - hoping that I feel better and that the head zingers go away with time."

viibryd_vilazodone,forumstopic71263-viibryd,1,23,"follow up to my previous post about the head zingers.  I talked to my Pdoc about the severe head zaps and he told me they were withdrawal effects from going off my combined dosages of Paxil and Lexapro.  He said that when I moved up to the 40mgs of Viibryd the head zaps should go away and he was right.  I have been at 40mgs for 4 days now and the head zaps did go away when I started the 40mgs dose. However, I did not sleep good last night and had more than my usual amount of caffeine today - guess what - the head zaps returned with a vengeance.  I am hoping for a better night's sleep tonight, if for not other reason than exhaustion.  Tomorrow, I will strictly limit my caffeine and see what happens. So far, I have been less depressed and even somewhat cheerful with the Viibryd, so I am really hopeful that if I cut back on caffeine, that the head zaps will go away again."

viibryd_vilazodone,forumstopic71263-viibryd,1,24,I started taking viibryd a couple of days ago. Is headache a common compaint with this drug?

viibryd_vilazodone,forumstopic71263-viibryd,1,25,"Other than the side effects from Viibryd itself, did you do alright taking that combination of drugs together?"

viibryd_vilazodone,forumstopic107328-viibryd,1,1,"Couldn't find any results when I searched for Viibryd.  Has anyone here taken it?  I am currently taking 20mg of Brintellix (along with 2mg Xanax, 1mg Risperdal, 60mg Vyvanse).  Previously was on 120mg Cymbalta/450mg Wellbutrin (quit both when I got on the Brintellix).  pdoc mentioned Viibryd in our last session as a possible replacement for the Brintellix.  Price is about half that of Brintellix on my insurance - it's a preferred drug.  But it does require prior authorization.  I did read some of the reviews on drugs.com.  Some nasty side effects, and some people reported bad experiences with it.  But it's usually a crap shoot with drugs, anyway."

viibryd_vilazodone,forumstopic107328-viibryd,1,2,"I guess nobody's taking it.  I have a prescription in for it, starting at 10mg for a week, then 20mg for a week, and then the normal theraputic dosage of 40mg after that.  I am supposed to take my Brintellix every other day to wean off of it.  Unfortunately I have to wait for my prior authorization to come back for the Viibryd before I can start taking it.  Who knows how long that will take.  Right now the cost is almost $260, but it will be around $40 after it gets approved.  I will try to report back with my experience with it once I get settled in taking it."

viibryd_vilazodone,forumstopic107328-viibryd,1,3,"I've taken Viibryd before. And it is quite the drug. I've recently been diagnosed as bipolar II. The being said, I'm fairly certain that Viibryd made me hypomanic. However, there is some good to this drug. I found it to be activating where most antidepressants were sedating. But it has to be taken early in the morning, or it could cause insomnia. I remember having serious issues sleeping if I took it at 11AM. I also ended up quitting and switching to the SNRI class for a couple of reasons. Mostly, Viibryd had some pretty strong GI side effects that never seemed to go away. Namely, chronic diarrhea. It wasn't bad like you need to go all the time, but it made my gut feel wormy. It definitely did decrease my appetite, but I somehow gained weight on it. If we put aside the side effects I must say for someone who has motivation problems and needs more energy, Viibryd is a good place to start before resorting to SNRIs which typically are better at handling low energy/motivation symptoms in my experience. I seem to recall having absolutely no anxiety problems when I was on Viibryd either. So therapeutically it can be a miracle drug. It really depends on what kind of side effects you experience as they are different from person to person, but also on whether or not those side effects go away. For me the insomnia, wormy gut, chronic diarrhea never did go away, but I did really stick it out for 6 months I think before I switched."

viibryd_vilazodone,forumstopic107328-viibryd,1,4,"I'm on it, started 10 mg for 7, 20 mg for 7 now I'm on my second week of the 40 mg. I have found the 40 actually causes my anxiety to be a little worse. My pdoc said that is common while the 40 is building in your system."

viibryd_vilazodone,forumstopic107328-viibryd,1,5,"Didn't realize there was a forum dedicated to Viibryd.   I had been looking in the other medications forum. I've been on it for about three weeks, like Car_man1980, I went from 10 to 20 and now at 40. I've had some side effects, some odd muscle soreness, headaches, some bowel issues.  But gone is the diziness and lightheadedness I had with Brintellix. I have GAD, I have been taking Xanax for quite some time.  I don't think that Viibryd has had an effects on my anxiety.  Haven't had any issues. But I have noticed some heightened feelings from time to time.  Maybe not something I would call mania. But overall I do feel better than when I was on Brintellix.  Still not a lot of motivation to do things, but I don't feel like I want to quit my job and stay in bed all day.  Though I was out late last night, and I got home around 12:15.  I ended up sleeping most of the day and didn't take my meds until about 2. I also take Vyvanse 70mg for ADHD, so that may also have something to do with my heightened feelings.  I was previously on 60mg after having taken Adderall at similar dosages. Overall it has been a positive experience and I plan to continue taking Viibryd. I think the one thing that has really helped is that I started taking sam-e a few months ago.  It can be really expensive if you buy it at a pharmacy (it is otc in with the vitamins and supplements), so I actually found a seller on Ebay that sells it for a much more reasonable price.  I know there is the uncertainty that it may not be real, but I feel like it is and I have been feeling a lot better since starting to take it.  I just take 200mg a day.  I originally ordered the tablets, but when I reordered I got the capsules instead (wasn't paying attention).  I don't know if there is really a difference in how the two will release into my bloodstream. I was all ready to go to a clinic for treatment resistant depression, but the one ran by the hospital here decided to close up shop.  So I would have to travel over an hour to one ran by a hospital owned by a large university.  And they don't accept my insurance.   And my insurance only covers ect, not vagus nerve stimulation or tms.   I have no interest in ect.  I no longer feel like I need to go to the clinic. Though I am still having a lot of issues with motivation.  I am fine at work, I actually pick up a lot of slack from my coworkers who skip out on doing their jobs properly.  Though when it comes to keeping my car and my room clean, I am not doing as well.  And I am not taking care of myself like I should, I still am eating poorly and not using my cpap machine.  I still have about 25 pounds of weight that I gained a few years ago due to taking prednisone after eye surgery.  Vyvanse has done nothing to help with weight loss.  I also have a lot of other medical issues I am managing.  I wanted my endocrinologist to put me on something to lower my blood sugar (Invokana - it also promote weight loss), but she didn't feel it was high enough to do so."

viibryd_vilazodone,forumstopic107328-viibryd,1,6,"So I've been on it a few months now.  Started having some lightheadedness again, not sure if that is the Viibryd or the recent increase of my Risperdal. I already have gastric issues, so I take a few meds for that.  No problems there, and haven't had any bowel problems in a while. Though I do notice that my mood is worsening.  But I guess 40mg is the max? Has anyone tried Wellbutrin as an adjunct with Viibryd?  I was taking 300mg and then 450mg of it back when I was taking Cymbalta. I had to quit taking it when I was on Brintellix, those two don't get along.  I was thinking even going back on 150mg of Wellbutrin might be able to boost my mood.  My pdoc did suggest that I try sam-e. I have been taking 200mg for about 5 months, just upped it to 400mg this week.   Have not talked to her about going back on Wellbutrin. I am about a month and a half away from my next visit, though I know I can always call if I need anything. Still stuck slightly over my ""normal"" weight.  My eating habits and choices leave a lot to be desired, and lately I have been finding myself skipping a lot of meals.  Just no desire to eat at all. Had a stressful event with a minor car accident (not paying attention.  I also have ADHD) and my car is finally deciding to give up on me (transmission).  And I don't have the money to replace it (I spend a lot on healthcare, take a bunch of meds, etc).  My parents have offered to help me get a car, thankfully.  Though I will soon hit my out of pocket for my health insurance, so that should free up some money.  Too bad that doesn't cover my prescriptions. I have discount cards for Viibryd ($25) and Vyvanse ($30).  Everything else is generic except Synthroid, which is $55/3mo.   I have Hashimoto's Thyroiditis, and different family members who also have it suggested that I stay on the brand name.  Too much variability in the generic versions (levothyroxine)."

