drug,brandNameDrug,medicalDrugName
L-glutamine Powder for Oral Solution (NutreStore),L-glutamine,NutreStore
Labetalol (Trandate),Labetalol,Trandate
Labetalol (Trandate),Labetalol,Trandate
Lac-Hydrin (Lactic Acid),Lac-Hydrin,Lactic
Lac-Hydrin (Lactic Acid),Lac-Hydrin,Lactic
Lac-Hydrin Cream (Ammonium Lactate Cream),Lac-Hydrin,Ammonium
Lac-Hydrin Cream (Ammonium Lactate Cream),Lac-Hydrin,Ammonium
Lacosamide Tablet and Injection (Vimpat),Lacosamide,Vimpat
Lacosamide Tablet and Injection (Vimpat),Lacosamide,Vimpat
Lacrisert (Cellulose),Lacrisert,Cellulose
Lactated Ringer's (Lactated Ringer's Injection),Lactated,Lactated
Lactated Ringer's and 5% Dextrose Injection (Lactated Ringer's in 5% Dextrose),Lactated,Lactated
Lactated Ringer's in 5% Dextrose (Lactated Ringer's and 5% Dextrose Injection),Lactated,Lactated
Lactated Ringer's Injection (Lactated Ringer's),Lactated,Lactated
Lactic Acid (Lac-Hydrin),Lactic,Lac-Hydrin
Lactic Acid (Lac-Hydrin),Lactic,Lac-Hydrin
Lactulose Solution (Lactulose Solution),Lactulose,Lactulose
Lactulose Solution (Lactulose Solution),Lactulose,Lactulose
Lamictal (Lamotrigine),Lamictal,Lamotrigine
Lamictal (Lamotrigine),Lamictal,Lamotrigine
Lamictal XR (Lamotrigine Extended-Release Tablets),Lamictal,Lamotrigine
Lamictal XR (Lamotrigine Extended-Release Tablets),Lamictal,Lamotrigine
Lamisil (Terbinafine),Lamisil,Terbinafine
Lamisil (Terbinafine),Lamisil,Terbinafine
Lamisil Oral Granules (Terbinafine Hydrochloride),Lamisil,Terbinafine
Lamisil Oral Granules (Terbinafine Hydrochloride),Lamisil,Terbinafine
Lamivudine (Epivir),Lamivudine,Epivir
Lamivudine (Epivir),Lamivudine,Epivir
Lamivudine and Raltegravir Film-coated Tablets (Dutrebis),Lamivudine,Dutrebis
Lamivudine Tablets and Oral Solution (Epivir-HBV),Lamivudine,Epivir-HBV
"Lamivudine, Zidovudine (Combivir)",Lamivudine,Combivir
"Lamivudine, Zidovudine (Combivir)",Lamivudine,Combivir
Lamotrigine (Lamictal),Lamotrigine,Lamictal
Lamotrigine (Lamictal),Lamotrigine,Lamictal
Lamotrigine Extended-Release Tablets (Lamictal XR),Lamotrigine,Lamictal
Lamotrigine Extended-Release Tablets (Lamictal XR),Lamotrigine,Lamictal
Lamprene (Clofazimine),Lamprene,Clofazimine
Lanoxin (Digoxin Tablets),Lanoxin,Digoxin
Lanoxin (Digoxin Tablets),Lanoxin,Digoxin
Lanoxin Injection (Digoxin Injection),Lanoxin,Digoxin
lanreotide (Somatuline Depot),lanreotide,Somatuline
lanreotide (Somatuline Depot),lanreotide,Somatuline
Lansoprazole (Prevacid),Lansoprazole,Prevacid
Lansoprazole (Prevacid),Lansoprazole,Prevacid
